"","Community_ID","Count","Degree","Weighted.Degree","yearsOnForce","current_age","percentBlack","percentWhite","percentMale","percentFemale","WithinCommunityComplaints","internalComplaintsPerPerson","jaccardLabProp","percentFlagged","Index_Value","DetectedCrew","totalSettlements"
"1",108,3,23,138.642635686753,20.3333333333333,49.3333333333333,0,100,100,0,34,11.3333333333333,0.0298507462686567,100,1,"Yes",5
"2",424,5,11.4,77.4016810966811,21.6,47.8,0,80,100,0,58,11.6,0.111111111111111,100,0.950940868368744,"Yes",5
"3",1319,3,19.3333333333333,131.456980519481,12.6666666666667,39.6666666666667,0,66.6666666666667,100,0,32,10.6666666666667,0.0265486725663717,100,0.946905057929693,"Yes",3
"4",1134,5,18.2,99.3911111111111,29.4,54,0,100,100,0,52,10.4,0.103448275862069,100,0.943759896880625,"Yes",1
"5",219,3,17,97.128046028046,27.6666666666667,53.6666666666667,0,100,100,0,37,12.3333333333333,0.0769230769230769,100,0.938800202129321,"Yes",0
"6",485,3,13.6666666666667,97.924751984127,13.3333333333333,47,100,0,66.6666666666667,33.3333333333333,37,12.3333333333333,0.0206185567010309,100,0.931609268216172,"Yes",2
"7",253,3,24.6666666666667,153.204725829726,31,60,0,66.6666666666667,100,0,28,9.33333333333333,0.0857142857142857,66.6666666666667,0.886681261658056,"Yes",0
"8",1097,13,6.15384615384615,38.7240499084249,24.5454545454545,56,84.6153846153846,0,76.9230769230769,7.69230769230769,93,7.15384615384615,0.526315789473684,84.6153846153846,0.868736308131125,"Yes",1
"9",1288,8,6.5,47.1731336805556,29.125,56,100,0,87.5,12.5,64,8,0.6,100,0.844179196858817,"Yes",1
"10",160,7,9.57142857142857,56.8044939187796,21.6666666666667,50.3333333333333,85.7142857142857,0,42.8571428571429,42.8571428571429,62,8.85714285714286,0.217391304347826,85.7142857142857,0.800614467136271,"Yes",0
"11",550,6,14.1666666666667,75.1569518444519,21,45.8,16.6666666666667,50,83.3333333333333,0,50,8.33333333333333,0.105263157894737,100,0.793323272603661,"Yes",2
"12",87,8,8.125,44.1877074314574,18.875,44.875,0,100,87.5,12.5,68,8.5,0.205882352941176,87.5,0.77910138512755,"Yes",5
"13",1343,10,6,32.1949358974359,20.2,44.9,20,30,90,10,63,6.3,0.833333333333333,100,0.776055098423933,"Yes",4
"14",180,10,6.9,40.6898051948052,26.9,62.3,50,40,80,20,70,7,0.466666666666667,90,0.772860681072832,"Yes",0
"15",334,6,16.6666666666667,82.8184877257246,23.5,47.8333333333333,0,100,100,0,46,7.66666666666667,0.0882352941176471,100,0.771503028589637,"Yes",0
"16",360,5,15.2,73.6229111411464,22.4,50,40,60,100,0,44,8.8,0.0520833333333333,100,0.771472414528728,"Yes",2
"17",305,4,9,71.2996517371517,20.25,50.5,25,0,50,50,41,10.25,0.0384615384615385,75,0.75133554188919,"Yes",1
"18",194,3,18.6666666666667,93.1220853220854,25.3333333333333,56.3333333333333,0,66.6666666666667,66.6666666666667,33.3333333333333,25,8.33333333333333,0.176470588235294,100,0.750865708442257,"Yes",1
"19",970,8,12.625,60.2907358776844,13.875,37.75,0,75,100,0,57,7.125,0.145454545454545,100,0.74433989092282,"Yes",15
"20",64,10,10,53.7034523809524,25.8888888888889,56.4444444444444,0,70,80,10,57,5.7,0.526315789473684,100,0.738720793175952,"Yes",0
"21",15,12,9,45.8785600973101,12.4444444444444,36.8888888888889,33.3333333333333,8.33333333333333,75,0,61,5.08333333333333,0.75,91.6666666666667,0.732121854240634,"Yes",16
"22",1470,6,12.3333333333333,57.9074966699967,26.6,60.8,0,33.3333333333333,83.3333333333333,0,41,6.83333333333333,0.555555555555556,100,0.728638384154212,"Yes",1
"23",251,6,15.5,66.1832712175103,16.8,45.4,0,83.3333333333333,66.6666666666667,16.6666666666667,41,6.83333333333333,0.384615384615385,100,0.723372798301023,"Yes",15
"24",1821,3,1.66666666666667,27.1161616161616,17,52.6666666666667,100,0,33.3333333333333,66.6666666666667,26,8.66666666666667,1,100,0.718417677095765,"Yes",0
"25",1170,7,10.1428571428571,70.5369614512472,27.4285714285714,60.7142857142857,0,71.4285714285714,85.7142857142857,14.2857142857143,49,7,0.2,85.7142857142857,0.715527535295334,"Yes",0
"26",696,4,13.25,68.0709351922587,16.25,37.25,0,100,100,0,35,8.75,0.0449438202247191,100,0.71490918951239,"Yes",2
"27",342,4,2,28.3333333333333,20.75,48,0,100,75,25,35,8.75,1,75,0.712293091982206,"Yes",0
"28",552,10,9.7,51.8085353535354,26.4,58.4,40,60,90,10,55,5.5,0.588235294117647,90,0.708022420757902,"Yes",3
"29",461,5,6.4,54.9058241758242,16.2,39.8,0,100,100,0,45,9,0.111111111111111,80,0.699446517226381,"Yes",2
"30",81,5,14.8,70.4999175309816,19.2,46.8,0,100,100,0,38,7.6,0.075,100,0.698392089502216,"Yes",2
"31",797,3,18.3333333333333,115.473941798942,18,40,0,66.6666666666667,66.6666666666667,0,18,6,0.111111111111111,100,0.690363756819786,"Yes",1
"32",1029,5,16.4,75.1306998556998,28,63.6,100,0,100,0,38,7.6,0.1875,80,0.690024703840774,"Yes",0
"33",335,5,8.6,46.3467624944715,27.6,53.2,0,100,100,0,43,8.6,0.0579710144927536,100,0.683962862837808,"Yes",0
"34",415,3,18.6666666666667,115.88410770516,22.6666666666667,54.6666666666667,33.3333333333333,66.6666666666667,100,0,18,6,0.0263157894736842,100,0.677300556911746,"Yes",5
"35",1326,10,10.7,52.5134007934444,25.5555555555556,61.2222222222222,80,0,90,0,55,5.5,0.391304347826087,90,0.676983448520072,"Yes",1
"36",1706,4,11.5,61.7169642857143,32,67,50,50,75,25,38,9.5,0.2,50,0.661507526732537,"Yes",0
"37",761,3,19,88.2488455988456,29,53.3333333333333,0,100,100,0,21,7,0.09375,100,0.65877287534375,"Yes",0
"38",2028,3,14.3333333333333,109.865548340548,27.3333333333333,68.6666666666667,100,0,100,0,17,5.66666666666667,0.111111111111111,100,0.658392343864939,"Yes",0
"39",1457,4,8.75,55.0815823065823,25.75,52.25,100,0,50,50,36,9,0.136363636363636,75,0.656218192621731,"Yes",0
"40",1676,3,7.66666666666667,51.0222843380452,32,55,33.3333333333333,0,33.3333333333333,0,32,10.6666666666667,0.0444444444444444,66.6666666666667,0.655177053531414,"Yes",1
"41",816,3,13.6666666666667,70.3724025974026,25.6666666666667,48.6666666666667,0,0,100,0,23,7.66666666666667,0.176470588235294,100,0.654302921926593,"Yes",1
"42",121,5,10.8,61.8364831696082,24.6666666666667,56.3333333333333,60,0,40,20,37,7.4,0.25,80,0.651558022433201,"Yes",4
"43",899,13,7.38461538461539,45.7982600732601,25.3076923076923,55.6153846153846,0,61.5384615384615,69.2307692307692,30.7692307692308,54,4.15384615384615,0.565217391304348,92.3076923076923,0.639550120316936,"Yes",1
"44",12,10,8.3,35.648189033189,17.2222222222222,55.8888888888889,70,10,90,0,53,5.3,0.416666666666667,100,0.638146329899922,"Yes",3
"45",789,16,11.1875,42.3469966345789,27.5625,62,0,75,100,0,54,3.375,0.833333333333333,87.5,0.637260859057873,"Yes",0
"46",687,14,7.92857142857143,31.1134389420104,24.3846153846154,52,0,85.7142857142857,85.7142857142857,7.14285714285714,59,4.21428571428571,0.722222222222222,85.7142857142857,0.6342538688866,"Yes",2
"47",25,6,10.6666666666667,53.2414682539683,21.5,46.3333333333333,0,66.6666666666667,100,0,36,6,0.357142857142857,100,0.631367009852184,"Yes",0
"48",213,8,7.5,35.9068840677296,11.5,35.1666666666667,12.5,50,75,0,43,5.375,0.6,100,0.630221403649486,"Yes",23
"49",1171,14,5.57142857142857,25.987074829932,30,62.0769230769231,14.2857142857143,71.4285714285714,71.4285714285714,21.4285714285714,60,4.28571428571429,0.8125,78.5714285714286,0.627250234128962,"Yes",5
"50",232,4,14.75,72.0933531746032,24,51,0,75,75,0,25,6.25,0.173913043478261,100,0.616584171823989,"Yes",2
"51",436,5,12.8,65.0857142857143,16.4,48.6,0,40,100,0,32,6.4,0.0714285714285714,100,0.614388206691043,"Yes",8
"52",337,7,7.42857142857143,40.9254404325833,14.7142857142857,37.8571428571429,0,85.7142857142857,100,0,44,6.28571428571429,0.2,100,0.614041955070013,"Yes",9
"53",1309,5,8,54.4238095238095,28,64.2,100,0,100,0,33,6.6,0.173913043478261,100,0.612770756399755,"Yes",0
"54",184,3,16.3333333333333,79.4689754689755,21,49.6666666666667,66.6666666666667,33.3333333333333,100,0,20,6.66666666666667,0.0465116279069767,100,0.609907541010167,"Yes",4
"55",107,6,11.1666666666667,61.2270757020757,13.1666666666667,43.8333333333333,0,100,100,0,36,6,0.285714285714286,83.3333333333333,0.608359459814091,"Yes",2
"56",1393,12,3.75,16.5958994708995,16.75,47.25,66.6666666666667,8.33333333333333,83.3333333333333,16.6666666666667,51,4.25,0.833333333333333,100,0.608246955532326,"Yes",10
"57",1075,4,8,48.5204462204462,15.25,41,0,75,100,0,31,7.75,0.0447761194029851,100,0.607049892039524,"Yes",2
"58",704,3,17.3333333333333,96.1210478519302,22.3333333333333,46,0,100,100,0,17,5.66666666666667,0.03125,100,0.606121345454904,"Yes",1
"59",186,15,7.4,33.8026455026455,18.2,46.4,53.3333333333333,20,93.3333333333333,6.66666666666667,53,3.53333333333333,0.866666666666667,80,0.605003006784059,"Yes",6
"60",751,7,7.85714285714286,46.9267125731411,21.2857142857143,47.7142857142857,0,100,100,0,32,4.57142857142857,0.857142857142857,85.7142857142857,0.600729692807183,"Yes",3
"61",100,5,15.8,82.405431381484,27.2,55.2,0,100,100,0,27,5.4,0.272727272727273,80,0.600062777526516,"Yes",2
"62",1757,7,8,35.0338568760838,26.7142857142857,62.7142857142857,0,100,100,0,40,5.71428571428571,0.4375,100,0.599981437121557,"Yes",0
"63",812,3,10.3333333333333,101.553917596565,27.3333333333333,54.6666666666667,0,100,100,0,9,3,0.666666666666667,100,0.599202970828946,"Yes",6
"64",1018,8,6.875,36.8496350871351,26.625,60.375,50,37.5,75,25,46,5.75,0.380952380952381,87.5,0.596948853431354,"Yes",0
"65",642,5,12.4,61.7329775779776,26.2,53.2,0,20,100,0,29,5.8,0.222222222222222,100,0.596153359044834,"Yes",0
"66",494,4,11.5,73.7649509803922,24.6666666666667,56.3333333333333,0,50,75,0,24,6,0.0869565217391304,100,0.593592820785719,"Yes",0
"67",430,8,11.75,51.6270872767583,18.375,40.625,0,75,87.5,12.5,30,3.75,0.777777777777778,100,0.59178116274417,"Yes",7
"68",300,5,14.4,96.4198629148629,30.6,64,20,80,100,0,24,4.8,0.185185185185185,80,0.590971953199058,"Yes",0
"69",165,3,13.6666666666667,71.6982495173672,16.3333333333333,43.3333333333333,0,100,66.6666666666667,33.3333333333333,24,8,0.0789473684210526,66.6666666666667,0.59057711977351,"Yes",5
"70",602,3,20.3333333333333,79.1255013505013,23,43.3333333333333,0,100,100,0,19,6.33333333333333,0.0298507462686567,100,0.590032922550979,"Yes",0
"71",207,5,13,65.4305735930736,17.6,43.2,0,100,80,20,32,6.4,0.133333333333333,80,0.585411697775233,"Yes",6
"72",562,8,8.25,45.8899774347385,14.8333333333333,43,0,37.5,62.5,12.5,51,6.375,0.043010752688172,75,0.583978910518514,"Yes",1
"73",217,4,16,78.5548536978587,27.5,50.5,50,0,50,0,21,5.25,0.181818181818182,100,0.583652017834795,"Yes",2
"74",42,9,5.88888888888889,25.8497534872535,17.8888888888889,44.2222222222222,0,66.6666666666667,100,0,42,4.66666666666667,0.666666666666667,100,0.583462162538583,"Yes",6
"75",747,10,5,22.687288961039,21.1,55.2,20,50,80,20,47,4.7,0.7,90,0.582173718998831,"Yes",1
"76",878,5,8.4,40.8533333333333,30,67.6,60,40,100,0,35,7,0.0819672131147541,100,0.581661963511898,"Yes",0
"77",16,10,8.3,36.8507606282606,19,49.1111111111111,0,90,90,0,50,5,0.296296296296296,90,0.57785364089906,"Yes",5
"78",752,15,5.13333333333333,21.0448770311814,28.8571428571429,60.4285714285714,6.66666666666667,60,93.3333333333333,0,53,3.53333333333333,0.75,93.3333333333333,0.57623968059326,"Yes",1
"79",21,9,7.33333333333333,35.2762541795436,23.3333333333333,45.7777777777778,0,44.4444444444444,77.7777777777778,22.2222222222222,50,5.55555555555556,0.205882352941176,88.8888888888889,0.575826763646556,"Yes",2
"80",741,9,7,34.109288705122,20.1428571428571,45.5714285714286,0,66.6666666666667,66.6666666666667,11.1111111111111,51,5.66666666666667,0.170212765957447,88.8888888888889,0.574718191951236,"Yes",1
"81",626,10,6.3,24.9994841269841,16.3,42.8,0,90,100,0,38,3.8,0.909090909090909,100,0.573946714896653,"Yes",1
"82",892,13,10.7692307692308,38.8352122236738,29.0909090909091,68.2727272727273,0,76.9230769230769,84.6153846153846,0,48,3.69230769230769,0.538461538461538,92.3076923076923,0.573639380913987,"Yes",4
"83",1117,4,7.25,39.0620738636364,24.75,54.75,100,0,100,0,29,7.25,0.142857142857143,100,0.570482388055283,"Yes",2
"84",1498,5,14.6,70.4510080442433,14.75,39.75,0,60,80,0,27,5.4,0.0561797752808989,100,0.570263145626861,"Yes",0
"85",1586,4,14.5,78.0509157509157,16.5,43.25,25,50,75,25,21,5.25,0.0975609756097561,100,0.568093603316815,"Yes",13
"86",817,5,9.8,55.3177655677656,20.8,45.4,0,100,100,0,28,5.6,0.222222222222222,100,0.566659873147097,"Yes",1
"87",10,13,10.4615384615385,41.8251073712612,23,54.9230769230769,76.9230769230769,15.3846153846154,84.6153846153846,15.3846153846154,48,3.69230769230769,0.722222222222222,69.2307692307692,0.566378443764111,"Yes",0
"88",211,10,10.2,40.4772835987542,17.5,41.3,0,90,90,10,46,4.6,0.222222222222222,100,0.564739619901829,"Yes",11
"89",428,7,10.8571428571429,45.000634872374,15.2857142857143,39.8571428571429,0,71.4285714285714,100,0,23,3.28571428571429,1,100,0.564278661692757,"Yes",19
"90",1453,6,16.1666666666667,84.3050967550967,17.1666666666667,39.6666666666667,0,83.3333333333333,100,0,22,3.66666666666667,0.272727272727273,100,0.562849121001524,"Yes",0
"91",520,13,7,33.7106485394947,23.3076923076923,57.7692307692308,46.1538461538462,53.8461538461538,84.6153846153846,15.3846153846154,43,3.30769230769231,0.857142857142857,84.6153846153846,0.562312311721623,"Yes",0
"92",866,6,7.66666666666667,34.9816174566175,18.5,45.25,0,66.6666666666667,66.6666666666667,0,29,4.83333333333333,0.666666666666667,100,0.560529239773245,"Yes",4
"93",468,13,5,22.6863578728963,17.6923076923077,44.1538461538462,0,84.6153846153846,84.6153846153846,15.3846153846154,53,4.07692307692308,0.615384615384615,84.6153846153846,0.560126256405844,"Yes",3
"94",689,5,7.4,34.7009163059163,17.8,48.8,60,0,80,20,24,4.8,0.8,100,0.559867305012417,"Yes",0
"95",1053,3,15.6666666666667,73.8030881155881,27.6666666666667,56.6666666666667,0,100,100,0,18,6,0.0344827586206897,100,0.559647344438018,"Yes",0
"96",1673,6,3,18.9837301587302,27.6666666666667,61.6666666666667,33.3333333333333,50,83.3333333333333,16.6666666666667,30,5,0.857142857142857,100,0.557388839489327,"Yes",1
"97",1420,3,2.33333333333333,20.7222222222222,21,49.3333333333333,100,0,100,0,17,5.66666666666667,1,100,0.555356578708421,"Yes",0
"98",390,4,7.25,42.6686763417742,20.25,49.75,0,100,100,0,32,8,0.0483870967741935,75,0.553818228590506,"Yes",2
"99",1356,4,2.25,19.8964947089947,15,42.25,0,75,100,0,24,6,0.75,100,0.552446807912193,"Yes",2
"100",1454,4,12.75,67.2384119965002,26.25,52,0,100,100,0,23,5.75,0.0294117647058824,100,0.552347078730396,"Yes",1
"101",247,13,13,55.3111798457952,15.75,43.25,7.69230769230769,53.8461538461538,76.9230769230769,15.3846153846154,44,3.38461538461538,0.292682926829268,92.3076923076923,0.551195386458072,"Yes",25
"102",932,5,13.8,60.188431013431,25,49.4,0,100,100,0,23,4.6,0.384615384615385,100,0.550932945231479,"Yes",2
"103",916,4,18.5,77.712585739424,23,52.25,0,75,100,0,24,6,0.0655737704918033,75,0.550752180834626,"Yes",1
"104",690,16,9.0625,30.121552729982,12.5,38.5,25,50,68.75,18.75,41,2.5625,0.941176470588235,93.75,0.549658607253344,"Yes",11
"105",523,13,9.23076923076923,39.1861529370579,22.3636363636364,52.2727272727273,0,76.9230769230769,76.9230769230769,7.69230769230769,48,3.69230769230769,0.476190476190476,84.6153846153846,0.548673111608119,"Yes",1
"106",748,12,5.08333333333333,21.9895979225023,25.1,52.9,0,25,83.3333333333333,0,52,4.33333333333333,0.333333333333333,100,0.546817635335855,"Yes",2
"107",514,5,14.4,65.2524603174603,26.6,58,100,0,100,0,27,5.4,0.227272727272727,80,0.543922425740179,"Yes",0
"108",62,10,4.3,33.7985714285714,20.2,52.6,100,0,90,10,51,5.1,0.333333333333333,70,0.542876142443303,"Yes",0
"109",799,15,8.46666666666667,32.405614015614,26.9333333333333,58.2666666666667,0,86.6666666666667,86.6666666666667,13.3333333333333,45,3,0.666666666666667,93.3333333333333,0.541686060501692,"Yes",3
"110",444,17,5.23529411764706,21.3517273576097,24.4117647058824,54.8823529411765,0,82.3529411764706,100,0,55,3.23529411764706,0.681818181818182,82.3529411764706,0.54130318369752,"Yes",2
"111",580,6,7.83333333333333,42.7425925925926,29.75,62,0,50,66.6666666666667,0,31,5.16666666666667,0.3,100,0.541294048217606,"Yes",2
"112",187,4,10,63.8895989974937,18.6666666666667,54.6666666666667,0,75,75,0,22,5.5,0.0952380952380952,100,0.54078321749885,"Yes",2
"113",575,5,8.4,42.0161821511822,25.25,54.75,0,80,40,40,27,5.4,0.6,80,0.54072050122288,"Yes",1
"114",2090,4,9.5,51.2087072649573,22,56,0,75,75,0,22,5.5,0.307692307692308,100,0.540552694865991,"Yes",0
"115",377,5,13.2,54.7218131868132,21.4,46.8,0,60,100,0,28,5.6,0.0735294117647059,100,0.540032958697499,"Yes",2
"116",1302,7,9.57142857142857,44.8766774891775,17.3333333333333,40.1666666666667,0,71.4285714285714,85.7142857142857,0,37,5.28571428571429,0.0673076923076923,100,0.537800516762416,"Yes",12
