trr_id,weapon_type,object_struck_of_discharge
12044,SEMI-AUTO PISTOL,UNKNOWN
12104,SEMI-AUTO PISTOL,PERSON
12163,SEMI-AUTO PISTOL,PERSON
12165,SEMI-AUTO PISTOL,PERSON
12251,SEMI-AUTO PISTOL,OBJECT
12426,SEMI-AUTO PISTOL,PERSON
12529,SEMI-AUTO PISTOL,OBJECT
12530,SEMI-AUTO PISTOL,OBJECT
12646,SEMI-AUTO PISTOL,OBJECT
13112,SEMI-AUTO PISTOL,PERSON
13123,SEMI-AUTO PISTOL,PERSON
13289,REVOLVER,PERSON
13290,SEMI-AUTO PISTOL,PERSON
13387,SEMI-AUTO PISTOL,OBJECT
13567,SEMI-AUTO PISTOL,PERSON
13570,SEMI-AUTO PISTOL,PERSON
13641,REVOLVER,UNKNOWN
13761,SEMI-AUTO PISTOL,OBJECT
14018,SEMI-AUTO PISTOL,OBJECT
14076,SEMI-AUTO PISTOL,PERSON
14204,REVOLVER,UNKNOWN
14236,SEMI-AUTO PISTOL,OBJECT
14495,SEMI-AUTO PISTOL,PERSON
14542,SEMI-AUTO PISTOL,OBJECT
14543,SEMI-AUTO PISTOL,OBJECT
14544,SEMI-AUTO PISTOL,OBJECT
14642,SEMI-AUTO PISTOL,PERSON
14702,SEMI-AUTO PISTOL,PERSON
14800,SEMI-AUTO PISTOL,OBJECT
14916,SEMI-AUTO PISTOL,UNKNOWN
14927,SEMI-AUTO PISTOL,UNKNOWN
15016,SEMI-AUTO PISTOL,PERSON
15091,SEMI-AUTO PISTOL,PERSON
15324,SEMI-AUTO PISTOL,PERSON
15327,SEMI-AUTO PISTOL,PERSON
15339,SEMI-AUTO PISTOL,PERSON
15379,SEMI-AUTO PISTOL,UNKNOWN
15414,SEMI-AUTO PISTOL,PERSON
15420,SEMI-AUTO PISTOL,OBJECT
15473,SEMI-AUTO PISTOL,PERSON
15474,SEMI-AUTO PISTOL,PERSON
15670,SEMI-AUTO PISTOL,PERSON
15731,SEMI-AUTO PISTOL,PERSON
15813,SEMI-AUTO PISTOL,PERSON
15817,SEMI-AUTO PISTOL,PERSON
15818,SEMI-AUTO PISTOL,PERSON
15819,SEMI-AUTO PISTOL,PERSON
15927,SEMI-AUTO PISTOL,PERSON
16238,SEMI-AUTO PISTOL,PERSON
16509,SEMI-AUTO PISTOL,OBJECT
16560,SEMI-AUTO PISTOL,OBJECT
16639,SEMI-AUTO PISTOL,PERSON
16640,SEMI-AUTO PISTOL,PERSON
