"","CRID","Race","Gender","Victim"
"168","1001029","Black","Male","Black Male"
"169","1001031","Black","Male","Black Male"
"170","1001035","Black","Male","Black Male"
"171","1001039","Black","Male","Black Male"
"172","1001043","Black","Male","Black Male"
"173","1001060","Black","Male","Black Male"
"174","1001061","Black","Male","Black Male"
"175","1001065","Black","Male","Black Male"
"176","1001081","Black","Male","Black Male"
"177","1001083","Black","Male","Black Male"
"178","1001088","Black","Male","Black Male"
"179","1001106","Black","Male","Black Male"
"180","1001110","Black","Male","Black Male"
"181","1001118","Black","Male","Black Male"
"182","1001129","Black","Male","Black Male"
"183","1001132","Black","Male","Black Male"
"184","1001142","Black","Male","Black Male"
"185","1001150","Black","Male","Black Male"
"186","1001151","Black","Male","Black Male"
"187","1001153","Black","Male","Black Male"
"188","1001155","Black","Male","Black Male"
"189","1001160","Black","Male","Black Male"
"190","1001165","Black","Male","Black Male"
"191","1001178","Black","Male","Black Male"
"192","1001193","Black","Male","Black Male"
"193","1001202","Black","Male","Black Male"
"194","1001217","Black","Male","Black Male"
"195","1001220","Black","Male","Black Male"
"196","1001231","Black","Male","Black Male"
"197","1001240","Black","Male","Black Male"
"198","1001241","Black","Male","Black Male"
"199","1001245","Black","Male","Black Male"
"200","1001248","Black","Male","Black Male"
"201","1001259","Black","Male","Black Male"
"202","1001268","Black","Male","Black Male"
"203","1001281","Black","Male","Black Male"
"204","1001293","Black","Male","Black Male"
"205","1001300","Black","Male","Black Male"
"206","1001309","Black","Male","Black Male"
"207","1001318","Black","Male","Black Male"
"208","1001321","Black","Male","Black Male"
"209","1001330","Black","Male","Black Male"
"210","1001341","Black","Male","Black Male"
"211","1001343","Black","Male","Black Male"
"212","1001346","Black","Male","Black Male"
"213","1001355","Black","Male","Black Male"
"214","1001375","Black","Male","Black Male"
"215","1001379","Black","Male","Black Male"
"216","1001393","Black","Male","Black Male"
"217","1001396","Black","Male","Black Male"
"218","1001399","Black","Male","Black Male"
"219","1001407","Black","Male","Black Male"
"220","1001408","Black","Male","Black Male"
"221","1001414","Black","Male","Black Male"
"222","1001423","Black","Male","Black Male"
"223","1001446","Black","Male","Black Male"
"224","1001450","Black","Male","Black Male"
"225","1001465","Black","Male","Black Male"
"226","1001490","Black","Male","Black Male"
"227","1001494","Black","Male","Black Male"
"228","1001502","Black","Male","Black Male"
"229","1001511","Black","Male","Black Male"
"230","1001512","Black","Male","Black Male"
"231","1001514","Black","Male","Black Male"
"232","1001545","Black","Male","Black Male"
"233","1001547","Black","Male","Black Male"
"234","1001552","Black","Male","Black Male"
"235","1001555","Black","Male","Black Male"
"236","1001561","Black","Male","Black Male"
"237","1001568","Black","Male","Black Male"
"238","1001570","Black","Male","Black Male"
"239","1001583","Black","Male","Black Male"
"240","1001586","Black","Male","Black Male"
"241","1001592","Black","Male","Black Male"
"242","1001613","Black","Male","Black Male"
"243","1001618","Black","Male","Black Male"
"244","1001622","Black","Male","Black Male"
"245","1001632","Black","Male","Black Male"
"246","1001634","Black","Male","Black Male"
"247","1001641","Black","Male","Black Male"
"248","1001648","Black","Male","Black Male"
"249","1001671","Black","Male","Black Male"
"250","1001683","Black","Male","Black Male"
"251","1001686","Black","Male","Black Male"
"252","1001687","Black","Male","Black Male"
"253","1001696","Black","Male","Black Male"
"254","1001707","Black","Male","Black Male"
"255","1001708","Black","Male","Black Male"
"256","1001721","Black","Male","Black Male"
"257","1001729","Black","Male","Black Male"
"258","1001732","Black","Male","Black Male"
"259","1001747","Black","Male","Black Male"
"260","1001749","Black","Male","Black Male"
"261","1001756","Black","Male","Black Male"
"262","1001758","Black","Male","Black Male"
"263","1001763","Black","Male","Black Male"
"264","1001766","Black","Male","Black Male"
"265","1001769","Black","Male","Black Male"
"266","1001772","Black","Male","Black Male"
"267","1001775","Black","Male","Black Male"
"268","1001781","Black","Male","Black Male"
"269","1001800","Black","Male","Black Male"
"270","1001807","Black","Male","Black Male"
"271","1001809","Black","Male","Black Male"
"272","1001815","Black","Male","Black Male"
"273","1001826","Black","Male","Black Male"
"274","1001837","Black","Male","Black Male"
"275","1001849","Black","Male","Black Male"
"276","1001862","Black","Male","Black Male"
"277","1001864","Black","Male","Black Male"
"278","1001873","Black","Male","Black Male"
"279","1001877","Black","Male","Black Male"
"280","1001880","Black","Male","Black Male"
"281","1001893","Black","Male","Black Male"
"282","1001899","Black","Male","Black Male"
"283","1001902","Black","Male","Black Male"
"284","1001906","Black","Male","Black Male"
"285","1001915","Black","Male","Black Male"
"286","1001931","Black","Male","Black Male"
"287","1001936","Black","Male","Black Male"
"288","1001949","Black","Male","Black Male"
"289","1001950","Black","Male","Black Male"
"290","1001960","Black","Male","Black Male"
